"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"214547_at",0.0252251159341439,4.17004516653495,0.30365076076018,0.763416979080441,0.941447775391595,-6.53040619635354
"203990_s_at",-0.054570862654499,5.21915809644945,-0.303642382323146,0.763423302857646,0.941447775391595,-6.53040876464088
"220707_s_at",0.0279520927630239,6.31299155717546,0.303592335261822,0.763461077129055,0.941447775391595,-6.53042410436857
"209692_at",0.0246788489046983,5.12776294338072,0.303583988357339,0.763467377221475,0.941447775391595,-6.53042666250085
"206424_at",-0.0796614716585928,6.04792547833317,-0.303558251563905,0.763486802990733,0.941447775391595,-6.53043454978994
"211750_x_at",0.0520605851315761,11.7397341364277,0.30343532551297,0.763579587997234,0.941455797768695,-6.53047221249762
"218443_s_at",0.0374458558638864,8.32113797409894,0.30339615312087,0.763609156202077,0.941455797768695,-6.53048421114821
"217034_at",-0.0254917526136342,5.3620740923915,-0.303337224233392,0.763653637736334,0.941455797768695,-6.53050225838695
"207502_at",-0.0422087654483061,5.33732818532933,-0.303325676768779,0.763662354252382,0.941455797768695,-6.53050579444199
"206605_at",-0.0222738163127483,4.56419276628817,-0.303184175494713,0.76376916796664,0.941535374621927,-6.53054911397909
"207962_at",-0.0182116506896861,4.88285313278827,-0.30308731639261,0.763842285790278,0.941573406404937,-6.53057875507173
"216272_x_at",0.0260261078701713,6.42968151651428,0.302903059458037,0.763981385331499,0.941692763848272,-6.53063511590437
"208594_x_at",-0.0254749514388521,6.42940874714187,-0.30282659534458,0.764039112088992,0.94171181254877,-6.5306584948783
"213175_s_at",-0.0568748260595342,9.0297155290587,-0.302461861178735,0.764314487907853,0.9419709589412,-6.53076993194892
"201362_at",0.0541264895387119,8.79425383449491,0.302420423109397,0.764345775801812,0.9419709589412,-6.53078258405927
"222064_s_at",-0.0356300814646309,7.71990296080562,-0.302380104628181,0.76437621873592,0.9419709589412,-6.5307948926766
"209299_x_at",0.0185949539708732,7.14800425303741,0.302257835828707,0.764468541538039,0.942032619750132,-6.53083220950154
"203588_s_at",-0.0386945858792025,7.95352880576924,-0.302144279557233,0.764554288824091,0.942048486337472,-6.5308668537986
"214884_at",0.0180143950831413,4.14184796002976,0.302128779461035,0.764565993310657,0.942048486337472,-6.53087158163927
"221524_s_at",-0.0504458965526347,9.57416298786164,-0.30192620210938,0.764718969410553,0.942184861542994,-6.5309333496339
"205441_at",-0.0286494941943669,8.73770162710334,-0.301736372747437,0.764862327617582,0.942309372433186,-6.53099119325381
"218267_at",-0.0401104053340742,7.52286493166658,-0.301522433560912,0.765023903575273,0.942356496879794,-6.53105634012516
"207592_s_at",-0.034923932944869,5.12126533865873,-0.301441910990095,0.765084720418728,0.942356496879794,-6.53108084824963
"202224_at",-0.0369215586114393,9.31779753630556,-0.301395339237249,0.765119895684668,0.942356496879794,-6.53109502001722
"217059_at",0.0150921583377808,3.95533295201529,0.301388571628955,0.765125007246427,0.942356496879794,-6.53109707921685
"202329_at",-0.0450061802382988,7.92338404887839,-0.301377986044504,0.765133002539882,0.942356496879794,-6.53110030003089
"215493_x_at",0.0278885950835752,7.09840337225098,0.301349671521349,0.765154388632298,0.942356496879794,-6.53110891457301
"208849_at",0.0202062310157274,4.08152021633509,0.301259022295322,0.765222857681755,0.942388722459862,-6.53113648870364
"214725_at",0.0142360840029752,3.73697684839919,0.30113058087819,0.765319875172225,0.942415415863214,-6.53117554452973
"205008_s_at",0.0253914315973924,6.39762645912428,0.301118313268708,0.765329141643013,0.942415415863214,-6.53117927393713
