"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"208843_s_at",-0.186358718331736,10.1178529856422,-1.92726560089654,0.0608689700717703,0.299928787057914,-4.74518236373515
"221650_s_at",-0.259745833319847,5.90861651912322,-1.92686138554384,0.0609208614209418,0.300118095947439,-4.74589747092072
"220925_at",-0.212288842235514,8.16000562607899,-1.92642897673441,0.0609764141730939,0.300325354528855,-4.74666231788651
"205367_at",0.207738751891993,6.19663106807348,1.92592979424885,0.061040599615336,0.300575030422379,-4.74754509713079
"209508_x_at",0.145299268035085,7.26095186271591,1.92578656441773,0.0610590269751911,0.300599324624604,-4.74779835682495
"210885_s_at",0.16147679681522,6.31229817709401,1.92557741353298,0.0610859440464564,0.300654882068125,-4.74816815033919
"221135_s_at",-0.249415288877081,7.40199528649946,-1.92548916477039,0.0610973044450511,0.300654882068125,-4.74832417036373
"207765_s_at",0.143490472138502,6.49798699432505,1.92467696430063,0.0612019454618781,0.300964758796981,-4.74975982693051
"209124_at",-0.135499996962155,10.8508931527818,-1.92466794452732,0.0612031084006849,0.300964758796981,-4.74977576757811
"214989_x_at",0.17182360843273,7.99802915547898,1.92454138419392,0.0612194280979577,0.300964758796981,-4.74999943113936
"203666_at",-0.319765043158791,8.46490635042479,-1.92453479395218,0.0612202779985341,0.300964758796981,-4.75001107739945
"220052_s_at",0.167231195889528,7.61396279717299,1.92447626673514,0.0612278263171845,0.300964758796981,-4.75011450510911
"201098_at",-0.26356625920263,10.8769007140309,-1.92414359345197,0.0612707467312784,0.301002446291875,-4.75070234664676
"222331_at",0.144493205097704,5.75595738746629,1.9240907134913,0.0612775715086652,0.301002446291875,-4.75079577900435
"202665_s_at",0.158489762558023,5.27993191021605,1.92405667346389,0.0612819651175728,0.301002446291875,-4.75085592239828
"209297_at",-0.228612964027095,9.1373466728891,-1.92399798624783,0.0612895406194706,0.301002446291875,-4.75095961143528
"202112_at",-0.365695365732947,7.24171839856283,-1.92386260149041,0.0613070195103786,0.301021924979657,-4.75119880026723
"201863_at",-0.131158661230607,9.29877600720463,-1.92361919168314,0.0613384557716037,0.301032192537284,-4.75162880542128
"203634_s_at",0.335940512257196,5.74526826118578,1.92358676850857,0.0613426442533995,0.301032192537284,-4.75168608044028
"211042_x_at",-0.32137203922969,8.66689925635292,-1.92353254067091,0.0613496500479988,0.301032192537284,-4.75178187125423
"217793_at",0.150871868651939,6.57984075966794,1.92331325674418,0.0613779867484158,0.301104913189707,-4.75216920265715
"212300_at",-0.304821913295672,7.19359234794358,-1.92273730903855,0.0614524664054273,0.301379212387219,-4.75318635105839
"211564_s_at",0.194011480514328,4.85633839343585,1.92267168181307,0.0614609580228548,0.301379212387219,-4.75330223548582
"212996_s_at",-0.324468214046193,6.20793970418832,-1.92207159159865,0.0615386514266705,0.301680439425776,-4.7543617211009
"207604_s_at",0.19846455629143,6.13009943597979,1.92198806370948,0.0615494724240316,0.301680439425776,-4.75450917145358
"216392_s_at",-0.213008937553345,8.45965220147152,-1.92128603081467,0.0616404850007496,0.302060071351011,-4.75574824750832
"201940_at",-0.407513852491086,9.31241112137565,-1.92082086492378,0.0617008533835772,0.302268773742732,-4.75656904999636
"210674_s_at",-0.505606068335173,5.74973380387064,-1.92074879085663,0.0617102115626855,0.302268773742732,-4.75669621257454
"201276_at",-0.170316831549266,7.73066533299354,-1.92049015952665,0.0617438025768847,0.302366825677129,-4.75715249141741
